,sample_id,sample_size,dragen_runtime,workflow_runtime,approximate_cost,actual_cost
0,ERR1019034,122,7760,16308,10.35,10.16
1,ERR1019042,105,8570,20597,11.43,11.35
2,ERR1019043,123,8669,17406,11.56,11.58
3,ERR1019044,112,9962,18237,13.29,11.28
4,ERR1019048,127,9464,18066,12.62,13.11
5,ERR1019052,122,7969,17806,10.63,10.85
6,ERR1019054,119,8697,17616,11.6,11.83
7,ERR1019058,130,11025,20724,14.7,15.31
8,ERR1019059,121,7484,19142,9.98,10.14
9,ERR1019062,119,8844,20348,11.8,11.71
10,ERR1019068,111,8301,18992,11.07,11.49
11,ERR1019072,117,10700,18040,14.27,11.32
12,ERR1019074,127,7678,14850,10.24,10.54
13,ERR1019075,104,8205,14787,10.94,11.41
14,ERR1019076,116,10795,19902,14.4,13.77
15,ERR1019077,114,8578,17397,11.44,11.63
16,ERR1019078,118,8633,17579,11.51,12.22
17,ERR1019082,212,13569,39868,18.1,19.79
18,ERR1025601,114,7705,14829,10.28,10.3
19,ERR1025602,121,9112,27993,12.15,12.78
20,ERR1025611,134,8664,29203,11.56,12.19
21,ERR1025612,133,10567,18474,14.09,14.32
22,ERR1025613,131,9061,16851,12.08,12.88
